product_id,total_orders,product_name,aisle_id,aisle
5181,53,Air Effects Linen & Sky Scent Air Freshener Spray,101,air fresheners candles
49120,45,After The Rain Gel Air Freshener,101,air fresheners candles
8567,44,Scented Soy Lavender Candle,101,air fresheners candles
47674,44,Air Effects Linen & Sky Air Refresher,101,air fresheners candles
4619,38,Original Scent Extra Strength Fabric Refresher Spray,101,air fresheners candles
36724,701,Organic Sea Salt Roasted Seaweed Snacks,66,asian foods
10492,314,Coconut Milk,66,asian foods
23032,309,Sriracha Chili Sauce,66,asian foods
22275,270,Sriracha Hot Chili Sauce,66,asian foods
22220,264,Original Roasted Seaweed Snacks,66,asian foods
44471,424,Free & Clear Unscented Baby Wipes,82,baby accessories
219,40,Totz Toothbrush Extra Soft 18+ Months,82,baby accessories
7489,19,Swaddlers Size 4 Giant Pack Diapers,82,baby accessories
7754,9,Take & Toss 10oz Cups w/ Straws,82,baby accessories
30217,8,Disposable Nursing Pads,82,baby accessories
31990,38,Unscented Pure Castile Soap,102,baby bath body care
23931,25,Calming Shampoo & Bodywash,102,baby bath body care
41129,24,All-One Baby Unscented Pure-Castile Bar Soap,102,baby bath body care
3491,23,Everyday Shea Lavender Bubble Bath,102,baby bath body care
38100,20,Head-to-Toe Baby Wash,102,baby bath body care
43875,587,Baby Food Stage 2 Blueberry Pear & Purple Carrot,92,baby food formula
34134,548,Spinach Peas & Pear Stage 2 Baby Food,92,baby food formula
2611,464,Gluten Free SpongeBob Spinach Littles,92,baby food formula
3020,429,Broccoli & Apple Stage 2 Baby Food,92,baby food formula
21162,383,Organic Mixed Berry Yogurt & Fruit Snack,92,baby food formula
2298,177,"Muffins, Mini, Flax, Chocolate Brownie",8,bakery desserts
31257,131,Vegan Chocolate Chip Mini Muffins,8,bakery desserts
6729,106,Cookie Tray,8,bakery desserts
34622,90,Vanilla Cupcakes,8,bakery desserts
30700,87,Angel Food Cake,8,bakery desserts
23537,912,Light Brown Sugar,17,baking ingredients
7500,660,Organic Vanilla Extract,17,baking ingredients
49533,629,Cane Sugar,17,baking ingredients
23405,617,Pure Baking Soda,17,baking ingredients
27243,585,Premium Pure Cane Granulated Sugar,17,baking ingredients
160,227,100% Recycled Aluminum Foil,97,baking supplies decor
37033,134,Non-Stick Parchment Paper,97,baking supplies decor
47348,124,Heavy Duty Aluminum Foil,97,baking supplies decor
28826,90,Parchment Baking Paper,97,baking supplies decor
42294,87,Certified Compostable Large Baking Cups,97,baking supplies decor
38426,71,Organic Cotton Balls,132,beauty
48672,47,Cotton Rounds,132,beauty
7883,40,Jumbo Cotton Balls,132,beauty
48888,26,Nail Polish Remover,132,beauty
11404,18,Triple Size Cotton Balls,132,beauty
46088,395,Beer,27,beers coolers
41131,296,India Pale Ale,27,beers coolers
30036,105,Belgian White Wheat Ale,27,beers coolers
28155,100,Premium Lager Beer,27,beers coolers
43892,89,Premium Belgian Lager,27,beers coolers
33439,143,Deep Moisture Body Wash,127,body lotions soap
3868,119,White Beauty Bar,127,body lotions soap
35601,116,Sensitive Skin Moisturizing Cream Soap Bars,127,body lotions soap
27240,99,Classic Lavender & Chamomile Liquid Hand Soap,127,body lotions soap
17836,92,Crisp Cucumber & Melon Liquid Hand Soap,127,body lotions soap
5077,4257,100% Whole Wheat Bread,112,bread
18362,1704,Organic Bread with 21 Whole Grains,112,bread
18027,1281,Ezekiel 4:9 Bread Organic Sprouted Whole Grain,112,bread
21267,1266,Sourdough Bread,112,bread
45123,900,Organic 21 Grain Thin Sliced Bread,112,bread
10673,1150,Original Nooks & Crannies English Muffins,93,breakfast bakery
17706,879,Organic Whole Grain Wheat English Muffins,93,breakfast bakery
20738,807,Plain Bagels,93,breakfast bakery
42460,609,Plain Mini Bagels,93,breakfast bakery
17341,574,Presliced Everything Bagels,93,breakfast bakery
30591,279,Cinnamon Brown Sugar Breakfast Biscuits,48,breakfast bars pastries
36472,225,Nutri Grain Bars Multi Pack,48,breakfast bars pastries
27761,192,Oats & Chocolate Chewy Bars,48,breakfast bars pastries
21351,176,Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars,48,breakfast bars pastries
13605,173,Frosted berry Strawberry Toaster Pastries,48,breakfast bars pastries
5161,772,Dried Mango,18,bulk dried fruits vegetables
22827,232,Organic Black Mission Figs,18,bulk dried fruits vegetables
1000,182,Apricots,18,bulk dried fruits vegetables
30365,43,Vegetable Chips,18,bulk dried fruits vegetables
10540,41,Whole Medjool Dates,18,bulk dried fruits vegetables
22260,468,Organic Rolled Oats,68,bulk grains rice dried goods
43210,110,Rolled Oats,68,bulk grains rice dried goods
42091,86,Pesto Sauce,68,bulk grains rice dried goods
7314,82,Organic Quick Rolled Oats,68,bulk grains rice dried goods
40397,77,Organic Royal Rainbow Quinoa,68,bulk grains rice dried goods
41658,716,Authentic French Brioche Hamburger Buns,43,buns rolls
18987,560,Hot Dog Buns,43,buns rolls
7806,481,Soft Pretzel Burger Buns,43,buns rolls
46572,447,Sweet Rolls,43,buns rolls
44310,399,Soft Pretzel Mini Buns,43,buns rolls
33000,2628,Pure Irish Butter,36,butter
42736,2622,Unsalted Butter,36,butter
7948,1434,Organic Unsalted Butter,36,butter
2078,1403,Unsalted Pure Irish Butter,36,butter
35108,1395,Salted Butter,36,butter
38164,896,Almonds & Sea Salt in Dark Chocolate,45,candy chocolate
46616,773,Organic Dark Chocolate Peanut Butter Cups,45,candy chocolate
39657,433,Milk Chocolate Almonds,45,candy chocolate
13424,419,Almonds,45,candy chocolate
2480,385,Organic 85% Cacao Dark Chocolate Bar,45,candy chocolate
26790,1180,Organic AppleApple,99,canned fruit applesauce
45013,453,Apple Sauce,99,canned fruit applesauce
9598,346,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,99,canned fruit applesauce
15995,282,Organic Cinnamon Apple Sauce,99,canned fruit applesauce
15860,221,Natural Apple Sauce Cups,99,canned fruit applesauce
890,1584,Organic Diced Tomatoes,81,canned jarred vegetables
7021,1289,Organic Tomato Paste,81,canned jarred vegetables
8670,1081,Diced Tomatoes,81,canned jarred vegetables
44449,1027,Organic Tomato Sauce,81,canned jarred vegetables
3376,1008,Organic Whole Kernel Sweet Corn No Salt Added,81,canned jarred vegetables
27156,2821,Organic Black Beans,59,canned meals beans
28849,2167,No Salt Added Black Beans,59,canned meals beans
42768,2125,Organic Garbanzo Beans,59,canned meals beans
35042,1219,Black Beans,59,canned meals beans
49175,744,Organic Pinto Beans,59,canned meals beans
4317,330,Solid White Albacore Tuna In Water,95,canned meat seafood
79,309,Wild Albacore Tuna No Salt Added,95,canned meat seafood
45149,249,Chunk Light Tuna In Water,95,canned meat seafood
32538,156,Chunk Light Tuna,95,canned meat seafood
16281,152,Solid White Albacore Tuna,95,canned meat seafood
16647,130,Double Duty Advanced Odor Control Clumping Cat Litter,41,cat food care
7076,124,Grain Free Chicken Formula Cat Food,41,cat food care
49355,124,Instant Action Cat Litter,41,cat food care
54,113,24/7 Performance Cat Litter,41,cat food care
10863,90,Grain Free Turkey & Salmon Formula Cat Food,41,cat food care
41844,2046,Honey Nut Cheerios,121,cereal
6187,1102,Raisin Bran Cereal,121,cereal
20955,983,Cereal,121,cereal
31433,666,Organic Cinnamon Crunch Cereal,121,cereal
31759,565,Cherrios Honey Nut,121,cereal
13870,1764,Lightly Salted Baked Snap Pea Crisps,107,chips pretzels
31040,1275,Sea Salt Pita Chips,107,chips pretzels
21376,1249,Pretzel Crisps Original Deli Style Pretzel Crackers,107,chips pretzels
35561,1082,Organic Tortilla Chips,107,chips pretzels
40709,1055,Sea Salt & Vinegar Potato Chips,107,chips pretzels
21847,270,Lemongrass Citrus Scent Disinfecting Wipes,114,cleaning products
34287,220,"Disinfecting Wipes, Lemon",114,cleaning products
881,203,Heavy Duty Scrub Sponges,114,cleaning products
20590,194,Disinfecting Wipes Fresh Scent,114,cleaning products
45566,185,Clean Up Cleaner with Bleach Fresh Scent,114,cleaning products
17956,124,Cocoa Powder,90,cocoa drink mixes
39321,65,Milk Chocolate Hot Cocoa Mix,90,cocoa drink mixes
4081,49,On the Go Natural Lemonade Drink Mix,90,cocoa drink mixes
29284,44,Pink Lemonade Drink Mix,90,cocoa drink mixes
12332,43,Liquid Water Enhancer Orange Tangerine,90,cocoa drink mixes
25718,552,Cold Brew Coffee,26,coffee
1695,430,Major Dickason's Blend Ground Coffee Dark Roast,26,coffee
7521,410,New Orleans Iced Coffee,26,coffee
32740,399,Cold-Brew Black Coffee,26,coffee
30850,348,French Roast Ground Coffee,26,coffee
4698,81,Oscillo Oscillococcinum Quick-Dissolving Pellets,11,cold flu allergy
36696,79,The Original Natural Herb Drops Cough Suppressant,11,cold flu allergy
35018,55,Coldcalm Homeopathic Tablets,11,cold flu allergy
44027,52,Honey Lemon Menthol Drops Cough Suppressant/Oral Anesthetic,11,cold flu allergy
44166,49,Allergy Relief Spray,11,cold flu allergy
18441,1127,Organic Ketchup,72,condiments
7751,1049,Tomato Ketchup,72,condiments
35898,856,Original Hot Sauce,72,condiments
27796,817,Real Mayonnaise,72,condiments
44628,742,Organic Dijon Mustard,72,condiments
40199,1048,Chocolate Chip Cookies,61,cookies cakes
40063,700,Gluten Free Chocolate Chip Cookies,61,cookies cakes
12481,410,Oreo Chocolate Sandwich Cookies,61,cookies cakes
45866,367,Fig Newmans Fruit Filled Cookies,61,cookies cakes
26634,292,"Cookies, Chocolate Chip Walnut",61,cookies cakes
34262,891,Hint Of Sea Salt Almond Nut Thins,78,crackers
39561,828,Crackers Cheddar Bunnies Snack Packs,78,crackers
22474,730,Cheddar Bunnies Snack Crackers,78,crackers
2091,654,Almond Nut & Rice Cracker Snacks,78,crackers
24810,626,Organic Lightly Salted Brown Rice Cakes,78,crackers
49235,5244,Organic Half & Half,53,cream
27086,4642,Half & Half,53,cream
18531,1612,Organic Heavy Whipping Cream,53,cream
44987,1514,Heavy Whipping Cream,53,cream
27744,661,Organic Whipping Cream,53,cream
38247,43,Men Dry Protection Cool Rush Antiperspirant & Deodorant,80,deodorants
36759,41,Unscented Long Lasting Stick Deodorant,80,deodorants
21241,40,Shower Fresh Invisible Solid Women's Antiperspirant & Deodorant,80,deodorants
40538,37,Clean Comfort Antiperspirant Deodorant,80,deodorants
26499,36,Lavender Long Lasting Deodorant,80,deodorants
5922,156,"Honest Face, Hand, & Baby Wipes",56,diapers wipes
36441,129,Baby Wipes,56,diapers wipes
42887,105,Baby Wipes Sensitive,56,diapers wipes
1039,82,Free & Clear Unscented Refill Value Packs Baby Wipes,56,diapers wipes
14904,67,Free & Clear Diapers,56,diapers wipes
14711,153,Organic Lowfat Mango Kefir,70,digestion
16528,98,Straightshot Probiotic Oat Drink,70,digestion
2722,70,Raw Probiotics Women probiotic 85 Billion 32 Strains capsules,70,digestion
30471,65,Organic Kids Berry Cherry Flavor Probiotic Chews,70,digestion
12283,58,Probiotic Green Coconut Water,70,digestion
13838,577,Natural Free & Clear Dish Liquid,74,dish detergents
33290,472,Lemon Verbena Dish Soap,74,dish detergents
2581,267,Lavender Floral & Mint Natural Dish Liquid,74,dish detergents
7014,266,Dishwasher Gel Free & Clear,74,dish detergents
